Person,Surname,Given,Call,Suffix,Prefix,Title,Gender,Birth date,Birth place,Birth source,Baptism date,Baptism place,Baptism source,Death date,Death place,Death source,Burial date,Burial place,Burial source,Note
[I0040],001+1CNN4,George,,,,,male,,,,,,,,,,,,,
[I0614],001-2CNN1,Abigail,,,,,female,,,,,,,,,,,,,
[I0004],001-2CNN1,Brian,,,,,male,,,,,,,,,,,,,
[I0652],001-7CNN0,Brigid,,,,,female,,,,,,,,,,,,,
[I0702],001-7CNS2,Catherine,,,,,female,,,,,,,,,,,,,
[I0668],001-7CNS2,Mary,,,,,female,,,,,,,,,,,,,
[I0650],001-9CNN0,Peggy,,,,,female,,,,,,,,,,,,,
[I0533],0010=1CNN6,Y,,,,,female,,,,,,,,,,,,,
[I0501],0010\1CNN5,X,,,,,male,,,,,,,,,,,,,
[I0508],0011\1CNN5,X,,,,,male,,,,,,,,,,,,,
[I0534],0011\1CNN6,Y,,,,,female,,,,,,,,,,,,,
[I0858],0012=20CNN7,Y,,,,,female,,,,,,,,,,,,,
[I0509],0012\1CNN5,X,,,,,male,,,,,,,,,,,,,
[I0510],0013=1CNN5,X,,,,,male,,,,,,,,,,,,,
[I0511],0014=1CNN5,X,,,,,male,,,,,,,,,,,,,
[I0526],0015=1CNN6,X,,,,,male,,,,,,,,,,,,,
[I0528],0016-1CNN6,X,,,,,male,,,,,,,,,,,,,
[I0529],0017-1CNN6,X,,,,,male,,,,,,,,,,,,,
[I0530],0018-1CNN6,X,,,,,male,,,,,,,,,,,,,
[I0535],0019\1CNN6,X,,,,,male,,,,,,,,,,,,,
[I0161],001=18CN,Fred,,,,,male,,,,,,,,,,,,,
[I0081],001=1CN,X,,,,,male,,,,,,,,,,,,,
[I0175],001=1CN,Y,,,,,female,,,,,,,,,,,,,
[I0553],001=1CNN5,Robert,,,,,male,,,,,,,,,,,,,
[I0720],001^0CNN6,Bethany,,,,,female,,,,,,,,,,,,,
[I0573],0021=0CNN6,X,,,,,male,,,,,,,,,,,,,
[I0181],002=1CN,X,,,,,male,,,,,,,,,,,,,
[I0176],002=1CN,Y,,,,,female,,,,,,,,,,,,,
[I0700],002=7CNN5,Fred,,,,,male,,,,,,,,,,,,,
[I0178],003=1CN,X,,,,,male,,,,,,,,,,,,,
[I0177],003=1CN,Y,,,,,female,,,,,,,,,,,,,
[I0179],004=1CN,X,,,,,male,,,,,,,,,,,,,
[I0413],004\3CNN6,Y,,,,,female,,,,,,,,,,,,,
[I0180],005=1CN,X,,,,,male,,,,,,,,,,,,,
[I0414],005\3CNN6,Y,,,,,female,,,,,,,,,,,,,
[I0214],006=1CN,X,,,,,male,,,,,,,,,,,,,
[I0496],006=1CNN5,Y,,,,,female,,,,,,,,,,,,,
[I0498],007=1CNN5,X,,,,,male,,,,,,,,,,,,,
[I0497],007\1CNN5,Y,,,,,female,,,,,,,,,,,,,
[I0512],008=1CNN5,Y,,,,,female,,,,,,,,,,,,,
[I0499],008\1CNN5,X,,,,,male,,,,,,,,,,,,,
[I0525],009=1CNN6,Y,,,,,female,,,,,,,,,,,,,
[I0500],009\1CNN5,X,,,,,male,,,,,,,,,,,,,
[I0155],0C1+1C2N5,Cormac,,,,,male,,,,,,,,,,,,,
[I0711],0C1+7C2E4,Mavis,,,,,female,,,,,,,,,,,,,
[I0156],0C1+8CNN5,Rona,,,,,female,,,,,,,,,,,,,
[I0152],0C1+9CNS5,Liam,,,,,male,,,,,,,,,,,,,
[I0153],0C1+9CNS\1C2E5,Eilis,,,,,female,,,,,,,,,,,,,
[I0005],0C1-1CNN2,Gobnait,,,,,female,,,,,,,,,,,,,
[I0154],0C1-2C3r1N5,Brian-Donall,,,,,male,,,,,,,,,,,,,
[I0572],0C1=00NN6,Tiffany,,,,,female,,,,,,,,,,,,,
[I0717],0C1=7C3N6,Ros,,,,,female,,,,,,,,,,,,,
[I0719],0C1=7C4N6,Deaglan,,,,,male,,,,,,,,,,,,,
[I0718],0C1^00NN6,Tomas,,,,,male,,,,,,,,,,,,,
[I0555],0N1=1CNN5,Elizabeth,,,,,female,,,,,,,,,,,,,
[I0558],0N1=1CNN5,Joe,,,,,male,,,,,,,,,,,,,
[I0559],0N1=1CNN5,Peter,,,,,male,,,,,,,,,,,,,
[I0556],0N1=1CNN5,Sylvia,,,,,female,,,,,,,,,,,,,
[I0557],0N1=1CNN5,Theresa,,,,,female,,,,,,,,,,,,,
[I0560],0N20=1CNN5,X,,,,,male,,,,,,,,,,,,,
[I0417],10C1+3C1xE6,Donall,,,,,male,,,,,,,,,,,,,
[I0130],10C1+3CNN5,Ultan,,,,,male,,,,,,,,,,,,,
[I0163],11C1=9CN,Riona,,,,,female,,,,,,,,,,,,,
[I0194],12C1\1CN,Brid,,,,,female,,,,,,,,,,,,,
