Marriage,Husband,Wife,Date,Place,Source,Note
[F0001],,,,,,
[F0002],[I0002],[I0003],,,,
[F0003],[I0004],[I0016],,,,
[F0004],[I0017],[I0005],,,,
[F0005],[I0018],[I0006],,,,
[F0006],[I0019],[I0007],,,,
[F0007],[I0153],[I0154],,,,
[F0008],[I0008],[I0020],,,,
[F0009],[I0021],[I0010],,,,
[F0010],[I0022],[I0011],,,,
[F0011],[I0023],[I0012],,,,
[F0012],[I0024],[I0013],,,,
[F0013],[I0025],[I0014],,,,
[F0014],,[I0001],,,,
[F0015],[I0026],[I0009],,,,
[F0016],,,,,,
[F0017],[I0228],[I0229],,,,
[F0018],,,,,,
[F0019],[I0231],[I0230],,,,
[F0020],,[I0762],,,,
[F0021],[I0032],[I0093],,,,
[F0022],[I0031],[I0033],,,,
[F0023],[I0034],[I0037],,,,
[F0024],[I0035],[I0036],,,,
[F0025],[I0030],[I0038],,,,
[F0026],[I0045],[I0039],,,,
[F0027],[I0047],[I0046],,,,
[F0028],[I0048],[I0040],,,,
[F0029],[I0041],[I0049],,,,
[F0030],[I0042],[I0050],,,,
[F0031],[I0043],[I0051],,,,
[F0032],[I0052],[I0044],,,,
[F0033],[I0060],[I0053],,,,
[F0034],,,,,,
[F0035],[I0061],,,,,
[F0036],[I0054],[I0059],,,,
[F0037],[I0055],[I0063],,,,
[F0038],[I0062],[I0064],,,,
[F0039],[I0065],[I0056],,,,
[F0040],[I0057],[I0068],,,,
[F0041],[I0058],[I0069],,,,
[F0042],[I0066],[I0070],,,,
[F0043],[I0067],[I0071],,,,
[F0044],[I0072],[I0079],,,,
[F0045],[I0073],[I0080],,,,
[F0046],[I0081],[I0074],,,,
[F0047],[I0082],[I0075],,,,
[F0048],[I0083],[I0076],,,,
[F0049],[I0084],[I0077],,,,
[F0050],[I0085],[I0078],,,,
[F0051],,,,,,
[F0052],[I0165],[I0087],,,,
[F0053],[I0100],[I0090],,,,
[F0054],[I0101],[I0102],,,,
[F0055],[I0091],[I0103],,,,
[F0056],[I0092],[I0104],,,,
[F0057],[I0105],[I0094],,,,
[F0058],[I0086],[I0095],,,,
[F0059],[I0106],[I0096],,,,
[F0060],[I0089],[I0107],,,,
[F0061],[I0088],[I0108],,,,
[F0062],[I0109],[I0110],,,,
[F0063],[I0111],[I0097],,,,
[F0064],[I0098],[I0112],,,,
[F0065],[I0113],[I0099],,,,
[F0066],[I0114],[I0117],,,,
[F0067],[I0115],[I0118],,,,
[F0068],[I0116],[I0119],,,,
[F0069],[I0120],[I0129],,,,
[F0070],[I0130],[I0121],,,,
[F0071],[I0131],[I0122],,,,
[F0072],[I0132],[I0123],,,,
[F0073],[I0133],[I0124],,,,
[F0074],[I0134],[I0125],,,,
[F0075],[I0126],[I0135],,,,
